T02,"Population, density and surface area",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"7,021.73",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,533.14",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,488.59",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2010,Population density,53.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,470.49",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,761.33",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2015,Population mid-year estimates for females (millions),"3,709.16",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
1,"Total, all countries or areas",2015,Population density,57.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2023,Population mid-year estimates (millions),"8,091.73",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
1,"Total, all countries or areas",2023,Population mid-year estimates for males (millions),"4,069.35",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
