@id,rdf:type,foaf:name,skos:altLabel,foaf:homepage,,
agent:oecd,foaf:Organization,Organisation for Economic Co-operation and Development,OECD,https://www.oecd.org,,
agent:un,foaf:Organization,United Nations,UN,https://www.un.org,,
agent:unops,foaf:Organization,United Nations Office for Project Services,UNOPS,https://www.unops.org,,
agent:unesco,foaf:Organization,"United Nations Educational, Scientific and Cultural Organization",UNESCO,https://www.unesco.org,,
agent:asean,foaf:Organization,Association of Southeast Asian Nations,ASEAN,https://asean.org,,
agent:imf,foaf:Organization,International Monetary Fund,IMF,https://www.imf.org,,
agent:university-harvard,foaf:Organization,University of Harvard,,https://www.harvard.edu,,
agent:openafrica,foaf:Organization,Open Africa,,https://open.africa,,
agent:unicef,foaf:Organization,United Nations Children's Fund,UNICEF,https://www.unicef.org,,
agent:world-bank,foaf:Organization,The World Bank,,https://www.worldbank.org,,
agent:eu,foaf:Organization,European Union,EU,https://european-union.europa.eu/,,
