@id,rdf:type,foaf:name,skos:altLabel,foaf:homepage,
agent:oecd,foaf:Organization,Organisation for Economic Co-operation and Development,OECD,https://www.oecd.org,
agent:un,foaf:Organization,United Nations,UN,https://www.un.org,
agent:unops,foaf:Organization,United Nations Office for Project Services,UNOPS,https://www.unops.org,
agent:unesco,foaf:Organization,"United Nations Educational, Scientific and Cultural Organization",UNESCO,https://www.unesco.org,
agent:asean,foaf:Organization,Association of Southeast Asian Nations,ASEAN,https://asean.org,
agent:imf,foaf:Organization,International Monetary Fund,IMF,https://www.imf.org,
agent:university-harvard,foaf:Organization,University of Harvard,,https://www.harvard.edu,
agent:openafrica,foaf:Organization,Open Africa,,https://open.africa,
agent:unicef,foaf:Organization,United Nations Children's Fund,UNICEF,https://www.unicef.org,
agent:world-bank,foaf:Organization,The World Bank,,https://www.worldbank.org,
agent:eu,foaf:Organization,European Union,EU,https://european-union.europa.eu,
agent:uk-gov,foaf:Organization,UK Government,,https://www.gov.uk,
agent:ca-gov,foaf:Organization,Government of Canada,,https://www.canada.ca,
agent:in-gov,foaf:Organization,Government of India,,https://www.india.gov.in,
agent:sg-gov,foaf:Organization,Government of Singapore,,https://www.gov.sg,
agent:de-gov,foaf:Organization,Government of Germany,,https://verwaltung.bund.de,
agent:nl-gov,foaf:Organization,Government of the Netherlands,,https://www.government.nl,
agent:es-gov,foaf:Organization,Government of Spain,,https://www.lamoncloa.gob.es,
agent:us-gov,foaf:Organization,Government of the United States of America,,https://www.usa.gov,
agent:ru-gov,foaf:Organization,Government of the Russian Federation,,https://government.ru,
