@id,rdf:type,dcterms:title,dcterms:description,dcterms:publisher,foaf:homepage,dcat:landingPage,dcterms:language,dcterms:spatial,dcterms:issued,dcterms:modified,dcat:themeTaxonomy,dcat:service,dcat:dataset,dcterms:license,dcterms:identifier,dcterms:conformsTo
catalog:world-bank-data-catalogue,dcat:Catalog,World Bank Data Catalogue,"The Data Catalog is designed to make World Bank's development data easy to find, download, use, and share. It includes data from the World Bank's microdata, finances and energy data platforms, as well as datasets from the open data catalog.",agent:world-bank,https://datacatalog.worldbank.org/,https://datacatalog.worldbank.org/,en,Global,,,,,,,,
catalog:eurostat,dcat:Catalog,Eurostat,High-quality statistics and data on Europe.,agent:eurostat,https://ec.europa.eu/eurostat,https://ec.europa.eu/eurostat,en||fr||de,Europe,,,,,,,,
catalog:undata,dcat:Catalog,UNdata,UNdata brings international statistical databases within easy reach of users through a single-entry point. Users can search and download a variety of statistical resources compiled by the United Nations (UN) statistical system and other international agencies. ,agent:un,https://data.un.org,https://data.un.org,en,Global,,,,,,,,
catalog:oecd-data,dcat:Catalog,OECD Data,"The OECD Data Explorer is the organisation's data warehouse, providing access to all OECD statistical data.  It is the entry point for figures on a wide range of statistical topics, covering OECD member countries and partner economies.",agent:oecd,https://data.oecd.org,https://data.oecd.org,en,Global,,,,,,,,
catalog:unicef-data,dcat:Catalog,UNICEF Data,"Leads the collection, validation, analysis, use and communication of the most statistically sound, internationally comparable data on the situation of children and women around the world.",agent:unicef,https://data.unicef.org,https://data.unicef.org,en,Global,,,,,,,,
catalog:unis,dcat:Catalog,UNESCO Institute for Statistics,"Source of internationally comparable data on education, science, culture and communication. The official statistical agency of UNESCO, and the custodian agency for Sustainable Development Goal 4 on Education.",agent:unesco,https://databrowser.uis.unesco.org,https://databrowser.uis.unesco.org,en,Global,,,,,,,,
catalog:unops-data,dcat:Catalog,UNOPS Data Portal,"A platform that provides users with dynamic and linked information about UNOPS projects going back to 2018, including over 1,000 ongoing projects around the world.",agent:unops,https://data.unops.org,https://data.unops.org,en,Global,,,,,,,,
catalog:asean-data-portal,dcat:Catalog,ASEANstats Data Portal,"Comprehensive overview of ASEAN's social, economic, and environment landscape.",agent:asean,https://data.aseanstats.org/,https://data.aseanstats.org/,en,Asia,,,,,,,,
catalog:imf-data,dcat:Catalog,IMF Data,Access to economic and financial data.,agent:imf,https://data.imf.org,https://data.imf.org,en,Global,,,,,,,,
catalog:harvard-dataverse,dcat:Catalog,Harvard Dataverse,"An open source web application for sharing, preserving, citing, exploring, and analyzing research data.",agent:university-harvard,https://dataverse.harvard.edu/,https://dataverse.harvard.edu/,en,Global,,,,,,,,
